OBJECTID,GEOID,NAME,State,POP2016,S_MedEarn2015,P_PctPov,SEth_NWhitePct,Pct_Urban,HS_NPct,e2012_RepPct,E2016_RPct2,E2012_DemPct,WinParty,E16_Dpct,Pct_Unemp,GEOID2,GEOID3,Pop_2015,NonEng,Shape_Length,Shape_Area
1,01005,Barbour,AL,25965.000000000000000,25941.000000000000000,26.699999999999999,53.246895145136030,32.210365298466691,26.696086771586558,48.189632716853346,52.271414821944177,51.332812364330991,R,46.660250240615973,39.200000000000003,1005.000000000000000,0500000US01005,,,258484.148344796180027,2342552281.830307483673096
2,01023,Choctaw,AL,12993.000000000000000,,23.399999999999999,44.440435817880079,0.000000000000000,23.599748269351796,52.056168505516553,56.439185470555863,47.467402206619859,R,42.776554760594387,14.400000000000000,1023.000000000000000,0500000US01023,,,275901.196201592159923,2385517553.402753829956055
3,01035,Conecuh,AL,12395.000000000000000,25979.000000000000000,33.799999999999997,48.866041729664353,19.050498941638946,21.909039865244246,48.953736654804267,52.162616536756836,50.604982206405694,R,46.905089408528198,44.299999999999997,1035.000000000000000,0500000US01035,,,259618.046757071511820,2208938489.380119323730469
4,01051,Elmore,AL,81799.000000000000000,36073.000000000000000,13.600000000000000,25.035622864204381,45.811633860005294,13.384265040769852,73.856411410566594,74.838097818723753,25.189894784223259,R,22.858691234250099,11.300000000000001,1051.000000000000000,0500000US01051,80763.000000000000000,53.500000000000000,229627.950468271330465,1701779985.745253324508667
5,01065,Hale,AL,14952.000000000000000,26702.000000000000000,26.800000000000001,60.577411167512693,10.831218274111675,19.335994547755817,37.122701514976292,39.600499375780274,62.576616167456919,D,59.575530586766547,17.000000000000000,1065.000000000000000,0500000US01065,,,251425.213158201251645,1699644141.638801574707031
6,01109,Pike,AL,33286.000000000000000,29607.000000000000000,26.100000000000001,42.590960211556585,48.320617647952822,20.255306059673948,56.383204701550660,58.971209213051822,42.731714225023012,R,38.687140115163146,18.500000000000000,1109.000000000000000,0500000US01109,,,215337.935532563278684,1743117565.340549945831299
7,01113,Russell,AL,58172.000000000000000,31029.000000000000000,21.000000000000000,47.889398832795059,64.591006100440069,17.690977679974850,43.971103792627218,48.129180602006691,55.773929671730585,D,50.047031772575245,10.699999999999999,1113.000000000000000,0500000US01113,58302.000000000000000,59.600000000000001,209639.346121759415837,1676498214.004503965377808
8,01117,Shelby,AL,210622.000000000000000,42811.000000000000000,8.300000000000001,19.844683086859575,77.055129815208758,8.610329186295816,77.026589894546163,73.427546165631810,21.620193655517458,R,23.110031449076686,5.400000000000000,1117.000000000000000,0500000US01117,203530.000000000000000,54.600000000000001,251819.457638635823969,2096559552.213855028152466
9,04015,Mohave,AZ,205249.000000000000000,25923.000000000000000,19.800000000000001,20.385041911022750,77.036356188744463,15.964996212574253,69.912410419747474,73.671298979633107,27.774144010920260,R,22.220275242960547,14.400000000000000,4015.000000000000000,0500000US04015,203362.000000000000000,50.600000000000001,1079859.045463464921340,34865004493.879570007324219
10,05011,Bradley,AR,10996.000000000000000,29831.000000000000000,29.000000000000000,41.988182134167538,50.408411539798401,20.486338083409596,58.433734939759042,59.800940005529448,39.676889375684553,R,36.411390655239153,15.199999999999999,5011.000000000000000,0500000US05011,,,244594.938071405427763,1690992939.168258190155029
